titulo;autor;texto
XVI - TOILETTE LÍRICO - A BELISÁRIO DE SOUZA;Alberto de Oliveira;"Trovadores do campo amadornado, 
Afinai a garganta ao desafio,
E tecei com os do vento pelo rio 
Uns idílios ao nítido azulado.
Poetas do lirismo condenado! 
Eu quero vos colher no som doentio 
A esse spleen matutino o desfastio, 
Com as carícias do ar romantizado.
Trovadores, cantai! O alpestre monte 
Já do seio cerrado do horizonte 
Sacode as grandes barbas alvadias;
À moderna se veste a natureza,
E de um novo banquete à lauta mesa 
Ouço as risadas das manhãs vadias!
XVII - TENEBROSA - A PONTES JUNIOR
Sei que te apagas, que te esvais, que em breve, 
Triste, onde a luz do sol doirou meu rumo, 
Mas não verei que do meu sonho o fumo 
A me cercar nuns hálitos de neve;
Sei, e que importa, em teu olhar errante 
Chispe essa luz tão íntima e tão pura,
Que já te morde o seio palpitante 
O horror da sepultura!
A sagrada irrisão não vem-me à vida,
Como um bronze, esmagar-me o pensamento; 
Sei me erguer, se me abate o sofrimento,
Sei sorrir, quando sangra-me a ferida;
Não que a alma de cínica não trema,
Nem o espírito encha um lume baço;
Mas é que o peito, quando a dor extrema,
Tem a rijeza do aço!
Que à tona desse rio te embalance 
A última esperança resplendente,
Até que, quando a vista não te alcance, 
Submerja-te a pérfida corrente;
— Eu que espalhei por todo o céo meus sonhos, 
Que soltei pelo azul das alvoradas 
Esse bando de pássaros risonhos,
Essas pombas sagradas;
Eu lhes direi, às íntimas errantes,
Que, quando subas às regiões serenas,
Tragam, volvendo à terra, uma das penas 
Que te enfeitam as asas deslumbrantes;
E nesse grande amor que inda me aviva,
Às tristezas achando um desafogo,
Ver-te-ei sempre minha, qual se viva,
Coroada de um círculo de fogo!"
S1;Alberto de Oliveira;"O sol se levantando em vão forceja 
D’encontro aos doze vidros de diamante 
Que tem tua vidraça;
Ele é grande demais p’ra que te veja; 
Não cabe no teu ninho palpitante;
E por isso o sol passa.
Minh’alma, como o sol, em vão forceja 
Contra as grades que tens no peito amante, 
Em vão tenta-as quebrar! 
Ela é um átomo, flor! e te deseja;
Bem cabe no teu ninho palpitante...
Deixa-a entrar, deixa-a entrar!"
S2;Alberto de Oliveira;"Obliquamente o sol, em púrpuras velado,
Fere com um beijo morno o crespo transparente, 
E aos hálitos da luz o tépido ambiente 
Envolve se num véu prismático e doirado.
Trescala o incenso, a mirra, o cravo rescendente 
Nas jarras orientais; então do cortinado,
Medrosa, abrindo os véus, num gesto namorado, 
Ei-la a Bacante nua! a Sílfide ridente!
Faz-se, agora, talvez, como um mistério estranho...
A carne sensual, refrigerada ao banho,
Toma os crivos, a renda, os folhos, o cetim;
Enquanto n’água fresca e láctea e perfumada,
O róseo sabonete, a flor purpureada,
Desbrocha entr’alva espuma a ponta de carmim."
XX - MÍSTICA - A JOAQUIM MALDONADO - I;Alberto de Oliveira;"Quanta vez, como um’ave misteriosa,
De ermo em ermo vagando,
Entre a luz, entre o fumo,
Não tenho o meu olhar lançado ao céu, sem rumo, 
E o não tenho deixado adormecer chorando 
No azul de alguma noite esplêndida e formosa!
Quanta vez, como lágrima suspensa 
E que se esvai a um vento repentino,
Não sinto-o que me desce,
Que frio como a neve a pálpebra amortece,
Naquela noite imensa
Cheia do resplendor metálico de um hino!
Quantas se prende e engasta
Lá nesse rio, cujas vagas cérulas,
Estreladas de lírios cintilantes,
Rolam ondas e ondas de diamantes,
E onde as mãos de uma alvorada casta 
Há semeado um turbilhão de pérolas! 
Quantas não paira incerto,
Ouvindo de cem mundos gloriosos 
Os longínquos rumores sonorosos,
Como um bater, de ventos no deserto!"
XX - MÍSTICA - A JOAQUIM MALDONADO - II;Alberto de Oliveira;"Donde esse errar de mundos sobre mundos, 
Esse errante bater d’asas cansadas,
Em viagem de pélagos profundos,
No mistério das noites encantadas?
Quem me arranca do íntimo este anseio 
E m’o arremessa ao fundo das alturas, 
Como um cristal que arroja-se no seio 
De umas ondas escuras?
Donde o vago mistério tenebroso 
Que o sonolento espírito circunda,
Se de um orbe a outro orbe luminoso 
Mais entranha-se errante e mais se afunda? 
Quando as harpas dos páramos vibrantes, 
Salmodiando os cânticos do dia,
Entornam, como chuva de diamantes,
Os concertos da mística harmonia;
Quando, como os belígeros arneses,
A refulgente lâmina divina 
Umas vezes oscila e noutras vezes 
De um metálico brilho se ilumina;
Por que, se a estrela d’alva imaculada 
Des’brocha, como um lírio n’Oriente,
Outra estrela, outra núncia d’alvorada,
Há de acordar-se em nós resplandecente?"
XX - MÍSTICA - A JOAQUIM MALDONADO - III;Alberto de Oliveira;"No esplêndido luar das noites brasileiras, 
Seguindo a aparição da lúcida poesia,
Como um pássaro abrindo as asas forasteiras, 
Assim meu triste olhar se perde e se extasia!
E quando sobre o azul do píncaro dos montes 
Seu estandarte d’oiro a madrugada planta,
Sinto-o apagar-se, assim dos largos horizontes 
Foge a estrela da noite ao sol que se alevanta!"
XXI - AO SOL POENTE - A ARTUR AZEVEDO;Alberto de Oliveira;"Lembra-te ainda a tarde, aquela tarde quente, 
À porta de teu lar, na íntima ventura? 
Como o dia era belo, e como estavas pura! 
Como eu te segredava o meu amor ardente!
Que doce embriaguez da sombra na frescura, 
Ali, à claridade amiga e transparente 
Do romântico sol avermelhando o poente,
Ali, onde eu beijei-te os dedos na costura!
Longe, através da cerca, os prismas delicados, 
As árvores, da relva os tons amaciados,
Dos muros a brancura, o aspecto dos jardins…
Oh! Lembras-te? Do amor à íntima fagulha,
Eu, ao teu lado, flor, ouvia a tua agulha 
Gemer como um punhal no peito dos cetins."
XXII;Alberto de Oliveira;"Do frio Danúbio à flux 
Se erguem, fitando as correntes, 
Da lua aos pingos de luz,
Umas ficções transparentes.
São as Valquírias medrosas, 
Anjos do amor passageiros,
Que surgem vertiginosas 
Do gelo dos nevoeiros.
Do teu olhar aos clarões, 
Fugazes como um conforto, 
Também se miram ficções 
Nest’alma — um Danúbio morto."
XXIII;Alberto de Oliveira;"Outros sonham, talvez, dos olhos teus na onda 
Embarcar-se a correr os mares ideais,
Ou por ela descer, como ligeira sonda,
Às pérolas do golfo, aos bancos de corais.
Tens a riqueza vã de Ofir e de Golconda! 
Nos teus olhos azuis, brilhantes, imortais,
Eu não sonho, eu não quero aí cousas triviais;
O que eu sonho, o que eu quero o meu amor esconda.
Não os quiseram ver sob esse véu de tule,
Nem velados assim de êxtases saudosos!
Eu quisera inspirar-te uma paixão exul!
Quisera, ao te lançar num vórtice de gozos,
Minar como um obreiro esse rochedo azul 
E assistir à explosão dos vícios luminosos!"
XXIV - TORTURAS DO IDEAL - A JOSÉ DO PATROCÍNIO - I;Alberto de Oliveira;"Podeis sorrir, abrir-vos, 
Rosas e violetas! 
Enchei esse ambiente 
De essências prediletas!
Podeis voar, ó pássaros! 
A selva se perfuma!
— O meu amor não tolda 
A mais cerrada bruma!
O meu amor é eterno! 
Imenso e imorredouro! 
É o sol radiante, altivo,
O astro grande e louro!
Não vos fecheis, ó lírios! 
Não vos murcheis, ó rosas! 
Ó madressilvas brancas, 
Abri-vos perfumosas!
A luz matinal banha 
Do monte a verde espalda. 
Voai, voai, esp’ranças,
— Insectos de esmeralda!
Enchei, laranjais verdes,
O chão de brancas flores! 
Cantai, aves do céu,
Alados trovadores!
O meu amor é eterno! 
A essência de que veio 
É o fluido luminoso,
Que os astros têm no seio!"
XXIV - TORTURAS DO IDEAL - A JOSÉ DO PATROCÍNIO - II;Alberto de Oliveira;"Eu tenho sobre as nuvens 
Esplêndidos castelos!
Para me alçar da terra 
À tão altas moradas,
Subo pelas escadas
Das tranças de uns cabelos!
Das suas áureas torres,
As minhas esperanças 
Debruçam-se p’ra ver-me, 
Como gentis crianças!
Tem cada qual nos lábios 
Não sei bem que poemas, 
E prendem seus cabelos 
Uns lúcidos diademas.
Pelas janelas sempre 
Entra o luar em cheio 
E entorna de seu seio 
Sobre as tapeçarias 
Pér’las, doiradas conchas, 
Luzentes pedrarias.
Nos minaretes altos,
Quais pássaros de luz, 
Pousam milhões de estrelas, 
Milhões d’astros azuis.
Nessas regiões ignotas 
Só eu penetro ousado; 
Lá vive o meu amor,
O lúcido exilado.
Para me alçar tão alto 
Àqueles meus castelos, 
Uns olhos são-me — guias, 
E escadas — uns cabelos."
XXIV - TORTURAS DO IDEAL - A JOSÉ DO PATROCÍNIO - III;Alberto de Oliveira;"O meu amor é um mundo 
Belo e desconhecido,
Nas regiões perdido 
De uns astros siderais;
Onde há um luar eterno, 
Em fundo azul radiante, 
Que enche a cada instante 
Os mares de cristais.
Onde crianças louras, 
Cheias de palidez, 
Soltam as tranças áureas 
Dos ombros na nudez.
Onde encantados gênios 
Se cruzam pelo espaço, 
E os silfos adormecem 
Dos sonhos no regaço.
Oh! não me bate o seio 
De alguém o ir buscar! 
Tão alto fica! — A ele 
Quem leva-me é o luar!"
XXIV - TORTURAS DO IDEAL - A JOSÉ DO PATROCÍNIO - IV;Alberto de Oliveira;"Que sombra pesada é esta 
Que passa, a cada momento, 
No meu belo firmamento 
Vestido de gala e festa?
Por que ao pé da alegria 
Há de se erguer a tristeza, 
A noite junto do dia, 
Diz-me por que, Natureza?
Pois para tudo uma sina 
Assim tão negra criaste? 
Por que pende a flor na haste 
Ainda à luz matutina?
E a nós, no viço da idade,
À luz da vida tão nova,
Por que o problema da cova,
O umbra et nihil da eternidade?
Por que no nosso degredo,
Nos fere sempre esse espinho? 
Por que topar no caminho 
Sempre a morte — esse rochedo?
E sempre essa voz que ilude, 
Essa alegria fingida! 
Pois pode haver luz na vida,
Se há sombras sobre o ataúde?
Que grande, negro mistério 
É esse que nos circunda,
E que fatal nos inunda 
De um frio palor funéreo?
Haverá na morte um porto 
P’ra os nautas da tempestade? 
Será um mar a eternidade?
— Qual o destino do morto?...
Que sombra pesada é esta 
Que passa, a cada momento, 
No meu belo firmamento 
Vestido de gala e festa?"
XXIV - TORTURAS DO IDEAL - A JOSÉ DO PATROCÍNIO - V;Alberto de Oliveira;"Onde estais vós, que eu via 
Quase a roçar por mim, 
Astros do meu amor? 
Estrelas que eu sentia 
Abrirem-se ao meu lado, 
Como botões de flor! 
Que bruma vos esconde 
Lá nesse céu fechado?
Onde é que estás, aonde,
Ó minha fantasia?
Quem despertar-me veio 
A vida no meu seio,
A vida, à luz do dia,
Quando, entre sonhos mansos, 
Eu só amava a noite,
Ó minha fantasia?
Ó sol! vai tu nas águas 
A fronte mergulhar! 
Crepúsc’lo! luz do dia, 
Esparecei no mar!
— Chegai, chegai da noite, 
Ó sombras perfumosas! 
Vinde enastrar de rosas 
Meu leito de sonhar!"
VI - VOZES NO AR;Alberto de Oliveira;"As minhas asas são brancas 
Como um novelo de espumas; 
Como as pérolas caídas 
Do alvo colar das brumas! 
Sobre as minhas asas brancas, 
Vem!
— Que tantas mulheres belas! 
Que tão formosas donzelas 
Há, além daquelas estrelas, 
Além!
As almas que o sol receiam, 
Que temem do sol as brasas, 
Eu, doce raio da lua,
Conduzo nas minhas asas! 
Sobre as minhas asas brancas, 
Vem!
Há, desta terra distantes,
Mil palácios deslumbrantes, 
Cobertos de diamantes,
Além!
Que clara é a noite, e formosa! 
Que face de céu tão nua....
— Quem és tu que assim me falas, 
Num frio raio da lua?
— Vem nas minhas asas brancas,
Vem!
Que tanto seio se agita 
Além na plaga infinita! 
Que tanto sonho palpita,
Além!
— Eu sou a filha dos ermos, 
Das soledades azuis! 
Deixou-me, errando na noite,
Uma orvalhada de luz;
Sobre as minhas asas brancas, 
Vem!
Cem estrelas luminosas 
Estão se abrindo, como as rosas, 
Lá nas campinas formosas,
Além!"
VII;Alberto de Oliveira;"Cantai, gênios do azul,
Ó bardos invisíveis! 
Cantai do meu amor 
As trovas imortais! 
O pensamento exul 
Desterra os impossíveis!
Há sempre um mundo em flor 
No céu dos ideais!
Cantai, liras sonoras,
Ó harpas diamantinas!
Meu céu, meu mundo esplende 
À branca flor do luar! 
Eternas são as horas! 
Passai, doudas ondinas! 
Ó mar! a voz suspende! 
Astros — enchei o mar!"
VIII;Alberto de Oliveira;"Por uma escada brilhante,
Que do céu prende-se à terra, 
Minha alma, saudosa amante, 
Sobe até o mundo distante 
Em que seu amor se encerra.
Depois de na estância pura 
Gozar de uns sonhos de paz, 
Quer voltar à terra escura; 
Procura a escada, procura... 
Procura... não a vê mais!"
IX;Alberto de Oliveira;"Eu ia uma noite, só, 
Cortando os ares azuis, 
Buscar-te as asas de luz 
Com as minhas asas de pó.
Quando no fino alabastro 
Das mil estrelas tocara, 
Todo o meu ser se inflamava 
Do vivo fogo de um astro.
Era que as chamas dos céus, 
Que aqueles círios bebiam, 
Dos teus olhares partiam, 
Dos grandes olhares teus.
E foi por isso que, só, 
Naqueles ares azuis, 
Senti tornadas de luz 
As minhas asas de pó!"
X - I;Alberto de Oliveira;"Às vezes eu não sei 
Que mágoa me lacera, 
Que mesmo nem quisera 
Te ver ao pé de mim.
Me pungem teu olhar 
E tua voz serena;
Não posso olhar sem pena 
O teu semblante assim."
X - II;Alberto de Oliveira;"Que sempre a nós nos fira 
A dor dessa tristeza! 
Ó mundo! ó natureza! 
Que tendes sobre nós?
Que existe além da sombra? 
Acaso ao fim do dia 
À noite erma e sombria. 
Iremos ter a sós?"
X - III;Alberto de Oliveira;"Além, por terra estranha, 
O meu olhar divaga:
— É linda aquela plaga! 
Eu amo aquele céu!
Ali, sob o arvoredo,
A vida como fora,
À claridade loura 
De algum luar sem véu!"
X - IV;Alberto de Oliveira;"Mas ah! em toda a parte 
O grande horror se encerra! 
É feia, é vil a terra! 
Eu nunca amei-a, não!
Um’arvore é um cipreste…
Eu temo-te, arvoredo! 
E como fazes medo,
Ó pálido clarão!"
